,0,1,2
0,['ral-feathercoat'],"['Federkleid', 'Isometric', 'Symmetrical']",0.9318639636039734
1,['ral-feathercoat'],"['Federkleid', 'AirPodsMax', 'Symmetrical']",0.9451844692230225
2,['ral-feathercoat'],"['Federkleid', 'Drawing', 'Isometric']",0.9783095121383667
3,['ral-feathercoat'],"['Federkleid', 'FacelessCyborgs', 'SillyCostume']",0.926949679851532
4,['ral-feathercoat'],"['Federkleid', 'FacelessCyborgs', 'Drawing']",0.9461163282394409
5,['ral-feathercoat'],"['Federkleid', 'Details', 'VintagePortrait']",0.9530844688415527
6,['ral-feathercoat'],"['Federkleid', 'Details', 'FacelessCyborgs']",0.9346947073936462
7,['ral-feathercoat'],"['Federkleid', 'FriedEgg', 'VintagePortrait']",0.9382951259613037
8,['ral-feathercoat'],"['Federkleid', 'FriedEgg', 'FacelessCyborgs']",0.8930960893630981
9,['ral-feathercoat'],"['Federkleid', 'PixarXL', 'SillyCostume']",0.8329960107803345
10,['ral-feathercoat'],"['Federkleid', 'PixarXL', 'Drawing']",0.9719680547714233
11,['ral-feathercoat'],"['Federkleid', 'CinematicPainting', 'Isometric']",0.9423230290412903
12,['ral-feathercoat'],"['Federkleid', 'CinematicPainting', 'Details']",0.897297739982605
13,['drawix6'],"['Drawing', 'SillyCostume', 'Federkleid']",0.544600248336792
14,['drawix6'],"['Drawing', 'VintagePortrait', 'SillyCostume']",0.6458740234375
15,['drawix6'],"['Drawing', 'Isometric', 'VintagePortrait']",0.8080506920814514
16,['drawix6'],"['Drawing', 'AirPodsMax', 'VintagePortrait']",0.7785852551460266
17,['drawix6'],"['Drawing', 'FacelessCyborgs', 'Federkleid']",0.8094942569732666
18,['drawix6'],"['Drawing', 'FacelessCyborgs', 'Isometric']",0.7748650908470154
19,['drawix6'],"['Drawing', 'Details', 'Symmetrical']",0.7917628288269043
20,['drawix6'],"['Drawing', 'Details', 'AirPodsMax']",0.811643660068512
21,['drawix6'],"['Drawing', 'FriedEgg', 'Symmetrical']",0.7868829369544983
22,['drawix6'],"['Drawing', 'FriedEgg', 'AirPodsMax']",0.6507230401039124
23,['drawix6'],"['Drawing', 'PixarXL', 'Federkleid']",0.721564769744873
24,['drawix6'],"['Drawing', 'PixarXL', 'Isometric']",0.7187554836273193
25,['drawix6'],"['Drawing', 'PixarXL', 'Details']",0.7569966316223145
26,['drawix6'],"['Drawing', 'CinematicPainting', 'SillyCostume']",0.6215099096298218
27,['drawix6'],"['Drawing', 'CinematicPainting', 'PixarXL']",0.7776735424995422
28,['pixar style'],"['PixarXL', 'SillyCostume', 'Federkleid']",0.4899054169654846
29,['pixar style'],"['PixarXL', 'VintagePortrait', 'SillyCostume']",0.9340658187866211
30,['pixar style'],"['PixarXL', 'Isometric', 'VintagePortrait']",0.9615758061408997
31,['pixar style'],"['PixarXL', 'AirPodsMax', 'VintagePortrait']",0.8731719851493835
32,['pixar style'],"['PixarXL', 'Drawing', 'SillyCostume']",0.9580188393592834
33,['pixar style'],"['PixarXL', 'FacelessCyborgs', 'Federkleid']",0.923956036567688
